Insit.Punc	Insit.Pcol	Test.Punc	Test.Pcol	RTest.Punc	RTest.Pcol	RTest.rateUnc	RTest.rateCol	Out.acquire	Out.clear	LABX.base	LABX.time	LABX.dens	LABX.freq	LABX.colabx	LABX.susabx	LABX.susever	LABX.clr	LABX.clrAbx	LABX.clrEver	Abx.rateUnc	Abx.rateCol	LogLike
0.8278614519	0.1721385481	0.0000000000	0.8500440905	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0010193765	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0046919379	1.0000000000	1.0000000000	1.0000000000	0.0239361052	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12080.8
0.5691157147	0.4308842853	0.0000000000	0.8701672913	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0010193765	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0035262871	1.0000000000	1.0000000000	1.0000000000	0.0180557978	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12050.5
0.9978244435	0.0021755565	0.0000000000	0.9186821808	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0010197114	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0032132665	1.0000000000	1.0000000000	1.0000000000	0.0314335409	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12027
0.0268932070	0.9731067930	0.0000000000	0.9219281471	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0011238421	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0021514679	1.0000000000	1.0000000000	1.0000000000	0.0420166912	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12022
0.7703937268	0.2296062732	0.0000000000	0.9524596918	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0011238421	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0020726871	1.0000000000	1.0000000000	1.0000000000	0.0689424776	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12031.2
0.9955505207	0.0044494793	0.0000000000	0.9627465040	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0010611400	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0016563772	1.0000000000	1.0000000000	1.0000000000	0.0710037717	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12058
0.0439910644	0.9560089356	0.0000000000	0.9447002351	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0010611400	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0021012099	1.0000000000	1.0000000000	1.0000000000	0.0668047711	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12051.1
0.9292558009	0.0707441991	0.0000000000	0.9208700024	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0009458048	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0019159661	1.0000000000	1.0000000000	1.0000000000	0.0646962437	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12048.4
0.9587508894	0.0412491106	0.0000000000	0.8997435168	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0009508668	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0024909482	1.0000000000	1.0000000000	1.0000000000	0.0395887618	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12044.8
0.9928080684	0.0071919316	0.0000000000	0.8811753963	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0010365409	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0035030334	1.0000000000	1.0000000000	1.0000000000	0.0468205010	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12067.9
